name,frequency
Berlin,3520031
Hamburg,1787408
München,1450381
Köln,1060582
Frankfurt am Main,732688
Stuttgart,623738
Düsseldorf,612178
Dortmund,586181
Essen,582624
Leipzig,560472
Bremen,557464
Dresden,543825
Hannover,532163
Nürnberg,509975
Duisburg,491231
Bochum,364742
Wuppertal,350046
Bielefeld,333090
Bonn,318809
Münster,310039
Karlsruhe,307755
Mannheim,305780
Augsburg,286374
Wiesbaden,276218
Gelsenkirchen,260368
Mönchengladbach,259996
Braunschweig,251364
Chemnitz,248645
Kiel,246306
Aachen,245885
Halle (Saale),236991
Magdeburg,235723
Freiburg im Breisgau,226393
Krefeld,225144
Lübeck,216253
Oberhausen,210934
Erfurt,210118
Mainz,209779
Rostock,206011
Kassel,197984
Hagen,189044
Hamm,179397
Saarbrücken,178151
Mülheim an der Ruhr,169278
Potsdam,167745
Ludwigshafen am Rhein,164718
Oldenburg (Oldb),163830
Leverkusen,163487
Osnabrück,162403
Solingen,158726
Heidelberg,156267
Herne,155851
Neuss,155414
Darmstadt,155353
Paderborn,148126
Regensburg,145465
Ingolstadt,132438
Würzburg,124873
Fürth,124171
Wolfsburg,124045
Offenbach am Main,123734
Ulm,122636
Heilbronn,122567
Pforzheim,122247
Göttingen,118914
Bottrop,117143
Trier,114914
Recklinghausen,114330
Reutlingen,114310
Bremerhaven,114025
Koblenz,112586
Bergisch Gladbach,111366
Jena,109527
Remscheid,109499
Erlangen,108336
Moers,104529
Siegen,102355
Hildesheim,101667
Salzgitter,101079
